gene,Epi_mock1,Epi_mock2,Epi_mock3,Epi_KD1,Epi_KD2,Epi_KD3,Fib_mock1,Fib_mock2,Fib_mock3,Fib_KD1,Fib_KD2,Fib_KD3
MIR6859-1,8,4,3,1,1,6,4,4,12,2,6,3
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0
OR4G4P,0,0,0,0,0,0,0,1,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,13,18,5,10,6,9,0,0,0,0,1,0
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0
MIR6859-2,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP21,18,25,13,8,6,10,8,3,7,7,7,9
RPL23AP24,0,5,1,1,2,0,0,0,2,0,1,0
OR4F29,0,0,0,0,0,0,0,0,0,0,0,0
LOC124904706,0,0,0,0,0,0,0,0,0,0,0,0
MTND1P23,30,27,12,29,24,13,21,18,8,8,12,9
MTND2P28,353,481,217,239,196,257,356,250,256,316,270,385
MTCO1P12,1115,1521,1275,1248,899,1186,597,501,667,594,709,629
MTCO2P12,43,75,53,54,39,29,24,25,16,26,30,33
MTATP8P1,0,0,0,0,0,0,0,0,0,0,0,0
MTATP6P1,14654,16217,13807,15104,11811,12107,6545,4691,5549,6288,5499,7058
MTCO3P12,70,70,61,59,48,47,31,37,24,44,37,41
OR4F16,0,0,0,0,0,0,0,0,0,0,0,0
RNU6-1199P,0,0,0,0,0,0,0,0,0,0,0,1
LINC01409,32,47,49,34,32,38,12,5,11,10,5,7
FAM87B,0,1,2,0,2,5,0,4,2,9,7,4
LINC01128,76,184,102,133,117,133,256,186,237,225,191,239
FAM41C,0,0,0,1,0,0,0,0,0,0,0,1
TUBB8P11,0,0,0,0,0,0,0,0,0,0,0,0
LINC02593,0,7,2,0,0,1,142,107,112,194,96,74
SAMD11,4,24,12,1,0,1,449,332,352,575,308,210
NOC2L,1968,2956,2966,2561,2760,2978,2194,1963,2033,1745,1994,2194
KLHL17,101,74,115,142,86,96,227,144,265,195,286,242
PLEKHN1,10,10,17,28,27,42,77,47,89,89,121,134
PERM1,7,3,4,33,12,14,30,30,29,47,58,78
HES4,66,67,75,128,51,74,252,195,318,271,266,385
ISG15,131,169,114,200,131,110,657,572,694,955,872,887
AGRN,4442,7927,9402,5806,9469,10525,5238,4122,4224,6185,4339,4723
RNF223,0,0,2,1,2,2,1,0,0,0,0,0
C1orf159,288,378,306,450,442,395,214,173,203,193,256,233
LINC01342,0,0,1,3,0,0,0,0,0,0,0,0
MIR200B,0,0,0,1,0,1,0,0,0,0,0,0
MIR200A,1,2,0,0,1,0,0,0,0,0,0,0
MIR429,0,0,1,0,3,1,0,0,0,0,0,0
TTLL10-AS1,0,0,0,3,0,2,0,1,0,0,0,0
TTLL10,2,0,0,0,0,0,0,1,0,0,0,0
TNFRSF18,0,0,0,0,0,0,0,0,0,0,0,0
TNFRSF4,0,0,1,1,4,0,1,2,0,0,0,0
SDF4,2222,3937,3228,3530,3623,3425,4444,3914,4569,5388,4620,4632
B3GALT6,464,754,679,1106,1037,1004,1086,762,1055,1032,1098,1286
C1QTNF12,11,8,9,10,7,10,14,13,13,13,12,10
UBE2J2,642,1102,939,1173,1097,1001,1820,1441,1679,1245,1596,1625
SCNN1D,30,18,16,28,15,21,65,55,58,54,80,59
ACAP3,266,353,293,234,234,227,975,800,893,859,873,965
MIR6726,0,0,0,0,0,0,0,0,0,0,0,0
PUSL1,196,265,255,362,251,268,248,207,243,251,308,266
INTS11,1001,1554,1407,1430,1432,1399,1586,1311,1592,1292,1557,1573
MIR6727,0,0,0,0,0,0,0,0,0,0,0,0
CPTP,340,530,427,636,505,548,588,494,641,614,631,714
TAS1R3,27,30,20,20,45,53,10,12,10,10,14,15
DVL1,1091,1011,1467,2545,2388,2801,3328,2696,3259,2604,3271,3515
MIR6808,0,0,0,0,0,0,0,0,0,0,0,0
MXRA8,35,21,48,68,63,59,6228,5101,4101,8506,4879,6816
AURKAIP1,2157,3266,2601,4055,2928,2983,2578,2481,2670,2324,2701,2708
NDUFB4P8,1,0,2,0,1,0,1,0,3,2,0,2
CCNL2,828,861,1004,1229,1178,1139,1919,1255,2010,1157,1918,1584
MRPL20-AS1,310,587,502,433,524,455,302,237,286,268,285,287
MRPL20,1002,1629,1336,1883,1570,1552,1143,949,1129,1075,1304,1324
RN7SL657P,0,0,0,0,0,0,0,0,0,0,0,0
ANKRD65,0,0,0,0,0,0,0,1,2,5,3,0
TMEM88B,0,0,0,0,0,0,0,0,0,0,0,0
LINC01770,0,0,0,0,0,0,0,0,0,0,0,0
VWA1,15,14,16,29,19,29,20,7,14,72,21,22
ATAD3C,2,3,0,1,2,0,1,3,6,2,3,1
ATAD3B,636,608,734,1552,1316,1217,612,484,690,377,578,660
ATAD3A,1030,1512,1350,2069,1759,1759,1328,1175,1303,1073,1222,1260
TMEM240,25,25,25,29,11,24,22,29,46,52,59,65
SSU72,2830,4546,3400,4050,3747,3406,3150,3042,2991,2792,2901,3082
FNDC10,0,0,0,0,1,0,22,37,28,74,56,52
MIB2,182,189,243,342,314,320,901,669,998,742,907,751
MMP23B,2,2,0,2,0,1,2,0,3,1,2,3
CDK11B,573,969,767,815,706,785,739,641,813,648,812,706
SLC35E2B,619,1488,1044,486,925,767,650,502,488,574,487,516
CDK11A,27,18,29,21,17,16,22,10,23,22,16,29
NADK,800,1476,1261,1100,1270,1189,1140,994,1030,1001,1011,1093
GNB1,2984,4928,4763,6502,7625,7829,7408,6055,8637,11806,11893,12625
GNB1-DT,3,12,4,3,5,2,6,1,2,4,0,4
CALML6,0,0,0,1,0,0,0,0,4,4,2,1
TMEM52,3,4,2,14,15,8,4,1,2,3,4,3
CFAP74,4,0,3,0,0,1,0,0,0,0,2,0
GABRD,0,1,0,0,0,0,0,0,1,1,0,1
PRKCZ-DT,4,6,6,0,4,0,0,0,0,0,0,0
PRKCZ,221,495,395,216,276,317,36,29,36,129,75,62
PRKCZ-AS1,14,14,33,29,39,24,10,19,24,35,23,13
FAAP20,738,1013,911,1162,921,894,737,611,802,898,955,980
SKI,531,1234,837,536,836,772,1637,1290,1394,1495,1346,1547
MORN1,75,185,146,116,154,121,79,59,58,55,53,93
RER1,1537,2509,1978,2121,1779,1596,2757,2645,2931,2680,3021,2863
PEX10,331,654,561,237,235,251,393,347,329,270,278,302
PLCH2,20,11,15,36,32,44,0,7,7,9,11,1
PANK4,341,464,459,400,404,409,562,519,554,584,642,685
HES5,0,0,0,0,0,0,3,7,3,6,5,8
TNFRSF14,0,0,0,0,0,0,406,369,383,330,284,264
PRXL2B,138,216,195,304,307,315,624,469,595,724,727,875
MMEL1,0,0,0,0,0,0,0,0,0,0,1,0
MMEL1-AS1,0,0,0,0,0,0,0,0,0,0,0,0
TTC34,16,29,13,11,19,21,12,1,3,4,5,2
ACTRT2,0,0,0,0,0,1,0,0,0,0,0,0
PRDM16-DT,0,0,0,0,0,0,0,0,0,0,2,1
PRDM16,0,1,0,1,0,0,1,1,0,0,1,0
MIR4251,0,0,0,0,0,0,0,0,0,0,0,0
ARHGEF16,773,1136,890,799,757,782,0,0,0,0,0,0
MEGF6,3,17,14,20,18,12,1,0,0,4,0,0
MIR551A,0,0,0,0,0,0,0,0,0,0,0,0
TPRG1L,1108,2228,1268,820,925,901,2109,2005,1822,2004,1781,2049
WRAP73,462,696,567,555,483,500,335,279,325,251,372,300
TP73,1,4,1,0,2,1,2,0,1,0,0,0
TP73-AS2,0,0,0,0,0,0,0,0,0,0,0,0
CCDC27,0,1,1,0,1,5,0,0,0,0,0,0
SMIM1,15,24,21,45,20,31,0,1,3,4,1,1
LRRC47,766,1400,1128,1086,1308,1245,1033,943,998,965,972,1034
RN7SL574P,2,2,3,2,1,0,3,0,0,0,2,0
CEP104,442,945,893,530,744,782,823,638,812,825,787,796
DFFB,68,129,127,166,206,180,69,55,81,63,74,78
C1orf174,560,958,781,607,627,640,488,437,479,408,471,440
LINC01134,28,50,37,71,96,97,10,3,7,4,10,4
LINC01345,0,0,0,0,0,0,0,0,0,0,2,0
LINC02780,0,0,0,0,0,0,0,0,0,0,0,0
EEF1DP6,0,0,0,0,0,0,0,0,0,0,0,0
LINC01777,0,0,0,0,0,0,0,0,0,0,0,0
LINC01646,0,0,0,0,0,0,0,0,0,0,0,0
AJAP1,372,901,554,899,1295,789,1,0,0,0,0,0
LINC02781,0,0,0,0,0,0,0,0,0,0,0,0
MIR4689,0,3,1,0,0,0,0,0,0,0,0,0
NPHP4,182,304,250,180,239,256,267,225,249,246,269,290
KCNAB2,92,194,142,92,108,68,122,120,135,179,144,129
CHD5,2,2,4,2,2,2,3,2,2,1,5,1
RPL22,660,1093,918,1449,1164,1077,1292,941,1509,1347,1540,1550
