gene,ENSEMBL,chr,gene_biotype
MIR6859-1,ENSG00000278267,1,ncRNA
MIR1302-2,ENSG00000284332,1,ncRNA
FAM138A,ENSG00000237613,1,ncRNA
OR4G4P,ENSG00000268020,1,pseudo
OR4G11P,ENSG00000240361,1,pseudo
OR4F5,ENSG00000186092,1,protein-coding
CICP27,ENSG00000233750,1,pseudo
RNU6-1100P,ENSG00000222623,1,pseudo
MIR6859-2,ENSG00000273874,1,ncRNA
RPL23AP21,ENSG00000228463,1,pseudo
RPL23AP24,ENSG00000236679,1,pseudo
OR4F29,ENSG00000284733,1,protein-coding
LOC124904706,ENSG00000278757,1,snRNA
MTND1P23,ENSG00000225972,1,pseudo
MTND2P28,ENSG00000225630,1,pseudo
MTCO1P12,ENSG00000237973,1,pseudo
MTCO2P12,ENSG00000229344,1,pseudo
MTATP8P1,ENSG00000240409,1,pseudo
MTATP6P1,ENSG00000248527,1,pseudo
MTCO3P12,ENSG00000198744,1,pseudo
OR4F16,ENSG00000284662,1,protein-coding
RNU6-1199P,ENSG00000223181,1,pseudo
LINC01409,ENSG00000237491,1,ncRNA
FAM87B,ENSG00000177757,1,ncRNA
LINC01128,ENSG00000228794,1,ncRNA
FAM41C,ENSG00000230368,1,ncRNA
TUBB8P11,ENSG00000234711,1,pseudo
LINC02593,ENSG00000223764,1,ncRNA
SAMD11,ENSG00000187634,1,protein-coding
NOC2L,ENSG00000188976,1,protein-coding
KLHL17,ENSG00000187961,1,protein-coding
PLEKHN1,ENSG00000187583,1,protein-coding
PERM1,ENSG00000187642,1,protein-coding
HES4,ENSG00000188290,1,protein-coding
ISG15,ENSG00000187608,1,protein-coding
AGRN,ENSG00000188157,1,protein-coding
RNF223,ENSG00000237330,1,protein-coding
C1orf159,ENSG00000131591,1,protein-coding
LINC01342,ENSG00000223823,1,ncRNA
MIR200B,ENSG00000207730,1,ncRNA
MIR200A,ENSG00000207607,1,ncRNA
MIR429,ENSG00000198976,1,ncRNA
TTLL10-AS1,ENSG00000205231,1,ncRNA
TTLL10,ENSG00000162571,1,protein-coding
TNFRSF18,ENSG00000186891,1,protein-coding
TNFRSF4,ENSG00000186827,1,protein-coding
SDF4,ENSG00000078808,1,protein-coding
B3GALT6,ENSG00000176022,1,protein-coding
C1QTNF12,ENSG00000184163,1,protein-coding
UBE2J2,ENSG00000160087,1,protein-coding
SCNN1D,ENSG00000162572,1,protein-coding
ACAP3,ENSG00000131584,1,protein-coding
MIR6726,ENSG00000278073,1,ncRNA
PUSL1,ENSG00000169972,1,protein-coding
INTS11,ENSG00000127054,1,protein-coding
MIR6727,ENSG00000283712,1,ncRNA
CPTP,ENSG00000224051,1,protein-coding
TAS1R3,ENSG00000169962,1,protein-coding
DVL1,ENSG00000107404,1,protein-coding
MIR6808,ENSG00000284372,1,ncRNA
MXRA8,ENSG00000162576,1,protein-coding
AURKAIP1,ENSG00000175756,1,protein-coding
NDUFB4P8,ENSG00000223663,1,pseudo
CCNL2,ENSG00000221978,1,protein-coding
MRPL20-AS1,ENSG00000224870,1,ncRNA
MRPL20,ENSG00000242485,1,protein-coding
RN7SL657P,ENSG00000264293,1,pseudo
ANKRD65,ENSG00000235098,1,protein-coding
TMEM88B,ENSG00000205116,1,protein-coding
LINC01770,ENSG00000225285,1,ncRNA
VWA1,ENSG00000179403,1,protein-coding
ATAD3C,ENSG00000215915,1,protein-coding
ATAD3B,ENSG00000160072,1,protein-coding
